	”character”	”Dialoge”	
2	”Hobbit”	” You're late!”	
2	”Old Man”	” A wizard is never late, Frodo Baggins. Nor is he early. He arrives precisely when he means to.”	
2	”Frodo”	” < leaps onto cart and hugs the old man > Its wonderful to see you Gandalf!”	
2	”Gandalf”	” < laughs > Ooh! You didn’t think I’d miss your Uncle Bilbo's birthday?”	
2	”Frodo”	” What news of the outside world? Tell me everything.”	
2	”Gandalf”	###############################################################################################################################################################################################################################################################	
2	”Hobbit folk”	” Look it's Gandalf! Its Gandalf!”	
2	”Gandalf”	” Ooh! The long expected party!”	
2	”Gandalf”	” So how is the old rascal? I hear it’s got to be a party of special magnificence.”	
2	”Frodo”	” You know Bilbo, he's got the whole place in an uproar.”	
2	”Gandalf”	” Hmm, well now that should please him, hmmm.”	
3	”Frodo”	” Half the Shire’s been invited.”	
3	”Gandalf”	” Good gracious me!”	
3	”Frodo”	” He is up to something.”	
3	”Gandalf”	” Oh really…”	
3	”Frodo”	” All right then keep your secrets. < Gandalf laughs > Before you came along we Bagginses were very well thought of.”	
3	”Gandalf”	” Indeed?”	
3	”Frodo”	” Never had any adventures or did anything unexpected.”	
3	”Gandalf”	” If you’re referring to the incident with the dragon, I was barely involved. All I did was give your uncle a little nudge out of the door.”	
3	”Frodo”	” Whatever you did, you’ve been officially labeled a disturber of the peace.”	
3	”Gandalf”	” Oh really?”	
3	”Hobbit children”	” Gandalf! Gandalf! Fireworks? Gandalf?”	
3	”Hobbit children”	” < dissapointed > Awwww.”	
4	”Frodo”	” Gandalf, I'm glad you're back.”	
4	”Gandalf”	” < as Frodo jumps off the cart > So am I, dear boy! So am I.”	
5	”Bilbo”	” < from within > No thank you! We don't want any more visitors, well-wishers or distant relations!”	
5	”Gandalf”	” And what about very old friends?”	
5	”Bilbo”	” Gandalf?”	
5	”Gandalf”	” Bilbo Baggins!”	
5	”Bilbo”	” My dear Gandalf! < gives Gandalf a hug >”	
5	”Gandalf”	” Good to see you! One hundred and eleven years old --who would believe it? < looks at Bilbo in astonishment > You haven't aged a day.”	
6	”Bilbo”	###############################################################################################################################################################################################################################################################	
6	”Gandalf”	” Just tea, thank you.”	
6	”Bilbo”	###############################################################################################################################################################################################################################################################	
6	”Gandalf”	” Just tea, thank you.”	
6	”Bilbo”	” Alright! < with mouthful of cake > You don't mind if I eat, do you?”	
6	”Gandalf”	” Oh no, not at all.”	
6	”Bilbo”	” < whispers > I'm not at home!”	
6	”Bilbo”	” I've got to get away from these confounded relatives hanging on the bell--they never give me a moment's peace! I want to see mountains again, mountains Gandalf! And then find somewhere quiet where I can finish my book. Oh, tea!”	
6	”Gandalf”	” So, you mean to go through with your plan, then.”	
6	”Bilbo”	” Yes, yes. It's all in hand. All the arrangements are made. < starts to pour water into the tea pot, Gandalf opens the lid > Oh, thank you.”	
6	”Gandalf”	” Frodo suspects something.”	
6	”Bilbo”	” ‘Course he does. He's a Baggins! Not some block-headed Bracegirdle from Hardbottle.”	
6	”Gandalf”	” You will tell him, won't you?”	
6	”Bilbo”	” Yes, yes.”	
6	”Gandalf”	” He's very fond of you.”	
6	”Bilbo”	” I know. He'd probably come with me if I asked him < chuckles >. I think in his heart Frodo is still in love with the Shire”	
7	”Bilbo”	” Old Toby. The finest weed in the Southfarthing.”	
7	”Bilbo”	” Gandalf, my old friend. This will be a night to remember!”	
7	”Bilbo”	” < to guest > Hello, hello, Fatty Bolger, lovely to see you! Welcome, welcome!”	
8	”Frodo”	” < sits beside him > Go on Sam! Ask Rosie for a dance.”	
8	”Sam”	” < gets cold feet > I think I’ll just have another ale.”	
8	”Frodo”	” Oh no you don’t. Go on. < pushes Sam to the dance floor and into Rosie’s arms. Frodo laughs aloud >”	
8	”Gandalf”	” < setting off a firework > Whoa!”	
8	”Bilbo”	” There I was, at the mercy of three monstrous trolls! And they were all arguing amongst themselves about how they were going to cook us, whether it be turned on a spit or whether they should sit on us one by one and squash us into jelly.”	
8	”Bilbo”	” They spent so much time arguing the wither-tos and why-fors, that when the sun’s first light cracked over the top of the trees and poof!”	
8	”Hobbit Children”	” < gasp >”	
8	”Bilbo”	” It turned them all to stone!”	
8	”Merry”	” Quickly!”	
8	”Gandalf”	” Whoa! Off they go.”	
8	”Merry”	” No, no the big one, big one”	
8	”Pippin”	” Done.”	
8	”Merry”	” You’re supposed to stick it in the ground!”	
8	”Pippin”	” It is in the ground.”	
8	”Merry”	” Outside!”	
8	”Pippin”	” It was your idea!”	
8	”Hobbit”	” Look at that!”	
8	”Frodo”	” Bilbo? Bilbo, look out for the dragon!”	
8	”Bilbo”	” Dragon? Nonsense! There hasn’t been a dragon in these parts for a thousand years…”	
8	”Merry”	” That was good!”	
8	”Pippin”	” Let’s get another one!”	
8	”Merry and Pippin”	” Aah!”	
8	”Gandalf”	” Meriadoc Brandybuck and Peregrin Took. I might have known.”	
8	”Hobbits”	” Speech, Bilbo! Speech!”	
8	”Frodo”	” Speech!”	
8	”Bilbo”	” My dear Bagginses and Boffins, < cheers > Tooks and Brandybucks, < cheers > Grubbs, < cheers > Chubbs, < cheers > Hornblowers, < cheers > Bolgers, < cheers > Bracegirdles < cheers > and Proudfoots.”	
8	”Proudfoot Hobbit”	” Proudfeet!”	
8	”Bilbo”	” Today is my 111th birthday!”	
8	”Hobbits”	” Happy birthday!”	
8	”Hobbit”	” Happy birthday!”	
8	”Bilbo”	###############################################################################################################################################################################################################################################################	
8	”Bilbo”	###############################################################################################################################################################################################################################################################	
8	”Hobbits”	” < shocked > Ooh!”	
8	”Bilbo”	” Hahahahaha! < flips the ring, catches it and puts it in his pocket >”	
10	”Gandalf”	” I suppose you think that was terribly clever.”	
10	”Bilbo”	” Come on Gandalf! Did you see their faces?”	
10	”Gandalf”	” There are many magic rings in this world Bilbo Baggins and none of them should be used lightly.”	
10	”Bilbo”	” It was just a bit of fun! Oh you’re probably right, as usual. You will keep an eye on Frodo, won’t you?”	
10	”Gandalf”	” Two eyes, as often as I can spare them.”	
10	”Bilbo”	” I’m leaving everything to him.”	
10	”Gandalf”	” What about this Ring of yours, is that staying too?”	
10	”Bilbo”	” Yes, yes. It’s in an envelope over there on the mantelpiece. < Gandalf turns to look >”	
10	”Bilbo”	” No, wait, its --here in my pocket. Heh, isn’t that, isn’t that odd though? < looks at the Ring > Yet, after all why not? Why shouldn’t I keep it?”	
10	”Gandalf”	” I think you should leave the Ring behind, Bilbo. Is that so hard?”	
10	”Bilbo”	” Well no… and yes! Now it comes to it, I don’t feel like parting with it, its mine, I found it, it came to me!”	
10	”Gandalf”	” There’s no need to get angry.”	
10	”Bilbo”	” What if I’m angry, it’s your fault! < caresses Ring > It’s mine! My own, my precious.”	
10	”Gandalf”	” Precious? Its been called that before, but not by you.”	
10	”Bilbo”	” Argh! What business is it of yours what I do with my own things!”	
10	”Gandalf”	” I think you’ve had that Ring quite long enough.”	
10	”Bilbo”	” You want it for yourself!”	
10	”Gandalf”	” Bilbo Baggins! Do not take me for some conjurer of cheap tricks. I am not trying to rob you. I’m trying to help you.”	
10	”Bilbo”	” < starts weeping >”	
10	”Gandalf”	” All your long years we’ve been friends. Trust me as you once did, hmm? Let it go.”	
10	”Bilbo”	” < collects himself > You’re right Gandalf, the Ring must go to Frodo. It’s late, the road is long. Yes it is time.”	
10	”Gandalf”	” Bilbo…”	
10	”Bilbo”	” Hmm?”	
10	”Gandalf”	” …the Ring is still in your pocket.”	
10	”Bilbo”	” Oh, yes…”	
11	”Bilbo”	"” I’ve thought of an ending for my book. < turns to Gandalf at the door > ""And he lived happily ever after…to the end of his days"".”"	
11	”Gandalf”	” And I’m sure you will my dear friend.”	
11	”Bilbo”	” Good bye, Gandalf.”	
11	”Gandalf”	” Good bye, dear Bilbo.”	
11	”Bilbo”	” The road goes ever on and on, down from the door where it began…”	
11	”Gandalf”	” Until our next meeting.”	
11	”Gandalf”	” < mumbles > Riddles in the Dark.”	
11	”Frodo”	” Bilbo! Bilbo!”	
11	”Gandalf”	” < mumbles > My precious.”	
11	”Gandalf”	” < mumbles > Precious…”	
11	”Frodo”	” He's gone hasn't he? He talked for so long about leaving. I didn't think he'd really do it.”	
11	”Frodo”	” Gandalf?”	
